ID,SIGHTING_DATE,CITY_STATE,COUNTRY_CODE,SHAPE,DURATION,DATE_POSTED
244,01/01/1978,london (uk/englnd),gb,disk,1,12/06/2008
245,01/01/1982,newcastle (uk/england),gb,cylinder,30,21/03/2003
246,01/01/2002,torquay (outside of) (uk/england),gb,sphere,30,24/05/2005
247,01/01/2002,sheffield (south yorkshire) (uk/england),gb,sphere,20,14/12/2006
248,01/01/2003,grimsby (uk/england),gb,light,60,04/03/2003
249,01/01/2003,brighton (uk/england),gb,light,240,04/03/2003
250,01/01/2004,london (uk/england),gb,fireball,1800,17/01/2004
251,01/01/2004,glasgow (uk/scotland),gb,other,2,02/03/2004
252,01/01/2005,waltham abbey (uk/england),gb,sphere,360,11/01/2005
253,01/01/2005,london (uk/england),gb,formation,60,22/02/2005
254,01/01/2007,welwyn garden city (uk/england),gb,oval,600,01/02/2007
255,01/01/2008,ellesmere port (uk/england),gb,disk,120,21/01/2008
256,01/01/2008,sheffield (uk/england),gb,formation,900,21/01/2008
257,01/01/2009,cardiff (uk/wales),gb,light,45,19/03/2009
258,01/01/2009,southampton (uk/england),gb,oval,900,05/08/2009
259,01/01/2009,london (uk/england),gb,disk,420,10/01/2009
260,01/01/2009,london (uk/england),gb,flash,900,10/01/2009
261,01/01/2009,swanage (uk/england),gb,other,3600,19/03/2009
262,01/01/2009,croydon (uk/england),gb,other,180,10/01/2009
263,01/01/2009,sheffield (uk/england),gb,fireball,300,10/01/2009
264,01/01/2010,london (uk/england),gb,diamond,10,14/02/2010
265,01/01/2010,leicestershire (uk/england),gb,fireball,5,14/02/2010
266,01/01/2010,walsall (uk/england),gb,light,1200,14/02/2010
267,01/01/2010,bromsgrove (uk/england),gb,circle,360,14/02/2010
268,01/01/2010,newcastle (uk/england),gb,other,180,14/02/2010
269,01/01/2010,stroud (uk/england),gb,fireball,120,14/02/2010
270,01/01/2010,glasgow (uk/scotland),gb,fireball,120,14/02/2010
271,01/01/2012,edinburgh (uk/scotland),gb,sphere,900,24/01/2012
272,01/01/2013,norwich (uk/england),gb,oval,40,04/02/2013
273,01/01/2013,chawton (village) (uk/england),gb,light,25,04/02/2013
274,01/01/2013,alton (hampshire)(uk/england),gb,fireball,120,04/02/2013
275,01/01/2013,london (uk/england),gb,oval,1800,04/02/2013
184,10/01/1971,preston (uk/england),gb,disk,180,19/12/2003
185,10/01/1998,london (uk/england),gb,circle,240,29/09/2004
186,10/01/2002,nottingham (uk/england),gb,circle,3,29/01/2002
187,10/01/2004,dunstable (uk/england),gb,changing,1800,17/01/2004
188,10/01/2006,exeter (uk/england),gb,teardrop,30,14/02/2006
