Income,Age,Education,Residence
113,69,12,South
91,52,18,West
121,65,14,West
81,58,12,West
68,31,16,West
92,51,15,West
75,53,,West
76,56,13,West
56,42,15,North
53,33,11,North
70,29,16,West
91,57,16,West
84,,19,West
77,50,16,West
95,57,12,West
65,50,16,North
41,20,12,
99,52,20,West
106,60,16,West
87,52,17,West
91,37,18,West
88,46,16,West
105,66,11,West
47,26,12,North
104,52,19,South
62,37,15,North
75,30,19,North
81,50,17,North
66,50,10,North
101,58,16,South
44,23,11,North
80,50,15,North
98,43,20,West
63,58,11,West
84,47,19,West
41,26,17,North
102,68,19,South
92,66,20,West
103,63,17,West
98,24,19,West
81,55,13,West
75,26,17,West
82,54,13,West
116,59,11,West
99,55,13,West
44,21,14,North
71,37,14,West
94,59,14,West
108,66,18,West
63,37,14,North
87,37,17,North
94,55,20,North
41,25,13,North
62,31,18,North
85,65,16,West
78,49,16,West
84,37,14,West
63,43,14,West
58,22,15,North
34,37,10,East
61,28,12,West
90,66,11,West
56,26,15,North
74,51,19,West
94,66,12,West
69,40,10,West
26,27,12,East
108,68,17,South
77,21,20,West
113,68,18,West
60,18,19,North
50,29,11,North
45,28,12,North
46,34,12,North
64,22,18,North
67,44,16,North
84,43,16,West
94,57,12,West
51,37,11,North
64,39,18,West
91,68,10,West
71,63,16,West
61,29,13,West
86,55,11,West
61,22,16,West
74,53,14,West
76,50,12,West
70,35,16,West
87,28,20,West
96,56,13,West
76,27,13,West
97,62,12,West
83,53,12,West
56,18,13,North
66,25,12,West
98,53,17,West
89,66,18,West
72,48,15,West
51,29,16,North
51,42,12,North
67,45,13,West
49,31,11,North
72,53,17,West
72,57,16,West
68,26,14,West
89,64,11,West
101,48,20,West
50,23,15,North
99,57,16,West
74,26,14,West
52,20,13,North
54,43,17,North
59,24,12,North
37,35,10,East
38,22,13,East
70,20,20,North
85,47,15,West
86,48,19,West
105,49,18,West
99,58,13,West
71,33,17,West
95,35,20,West
89,47,17,West
96,56,19,West
34,25,11,East
50,46,11,North
71,25,17,North
115,61,17,South
102,66,15,South
85,43,12,West
58,19,13,North
75,51,12,West
104,69,16,South
92,56,14,West
72,50,14,West
88,61,13,West
99,57,12,West
94,60,17,West
69,27,17,West
80,55,13,West
51,40,10,North
87,62,17,West
73,39,16,West
62,35,15,West
86,50,15,West
64,42,15,West
59,26,15,North
83,59,15,West
70,45,15,West
103,58,17,South
51,25,14,North
119,64,20,South
38,35,17,East
98,48,19,South
97,59,16,South
101,57,18,South
90,52,19,South
105,39,18,South
51,28,17,North
65,56,10,North
86,52,12,North
62,21,15,North
102,64,14,South
87,30,17,South
97,63,11,South
56,31,18,North
96,66,14,South
45,20,19,North
89,45,12,South
109,60,14,South
61,24,17,West
68,33,14,West
90,69,16,West
92,50,20,West
96,64,15,West
68,34,16,West
90,68,13,West
79,54,16,West
62,33,12,West
96,51,16,West
64,30,13,West
64,21,18,West
83,48,13,West
55,32,11,North
85,48,15,West
65,29,14,North
68,21,12,North
86,67,12,North
76,46,20,North
58,41,10,North
79,60,10,West
100,42,18,West
74,38,19,West
32,19,15,East
83,41,20,West
72,51,15,West
110,52,14,West
89,58,16,West
95,56,17,West
93,54,16,West
50,34,13,North
56,29,12,North
91,62,14,West
91,49,18,West
57,29,17,North
77,26,19,North
81,52,17,North
68,44,16,North
75,35,19,North
76,66,11,West
80,60,19,West
58,23,16,North
124,69,19,West
52,19,18,North
70,38,11,West
92,59,11,West
89,70,13,West
61,30,10,West
48,35,11,North
101,49,20,West
47,28,15,North
67,39,11,West
69,36,12,West
79,42,17,West
60,44,12,North
100,62,20,West
84,30,17,West
66,29,17,West
79,66,17,West
74,33,18,West
74,49,18,West
51,43,15,North
48,26,19,North
104,69,14,South
114,65,19,South
108,70,18,South
69,27,19,West
77,42,17,West
96,35,17,West
93,53,11,West
49,29,17,North
67,47,20,West
98,58,16,West
74,63,14,West
115,65,19,South
38,23,10,East
72,22,15,South
90,59,17,South
55,38,18,North
61,49,11,North
61,45,13,North
84,55,18,North
40,18,12,East
48,31,14,North
65,36,18,North
81,52,11,North
76,55,13,North
112,70,11,South
61,25,19,North
42,19,19,North
80,63,13,West
92,56,14,West
66,39,11,West
78,46,20,West
102,55,17,South
118,61,18,South
86,63,11,West
66,48,16,West
69,25,17,West
103,56,18,West
73,45,11,West
54,49,14,North
65,29,15,West
50,21,11,North
101,68,20,West
39,25,15,East
88,64,11,West
99,44,17,West
48,21,13,North
82,41,11,West
79,58,12,West
37,20,17,East
66,48,16,North
44,20,16,North
88,60,18,South
97,67,14,South
59,23,13,North
41,22,11,North
71,28,15,North
102,38,18,South
60,64,10,North
49,26,12,North
37,39,15,East
69,24,14,West
62,42,12,West
57,31,12,North
92,33,14,West
82,30,19,West
70,57,11,West
49,19,17,North
89,58,16,West
55,25,19,North
81,42,16,West
71,25,11,West
78,41,15,West
71,45,15,West
124,69,17,South
119,62,19,South
110,64,14,South
84,34,17,South
75,39,18,West
57,37,12,North
100,62,11,South
101,57,19,South
46,26,13,North
44,31,11,North
44,18,18,North
97,54,15,South
87,50,20,South
44,27,10,North
